event_id,timestamp,user,host,files_touched_per_min,new_country,process_chain,cpu_percent,process_chain_length,process_chain_depth,hour_of_day,is_off_hours,label,attack_type
evt_00000,2026-08-01T00:11:39,user_030,ws-30,2.0,0,explorer.exe>code.exe>python.exe,35.4,3,2,0,1,0,normal
evt_00001,2026-08-01T00:22:12,user_044,ws-14,9.0,0,explorer.exe>code.exe>python.exe,30.11,3,2,0,1,0,normal
evt_00002,2026-08-01T00:34:10,user_032,ws-02,230.0,0,explorer.exe>chrome.exe,55.54,2,1,0,1,0,normal
evt_00003,2026-08-01T00:39:03,user_010,ws-10,21.0,0,explorer.exe>code.exe>node.exe,23.02,3,2,0,1,0,normal
evt_00004,2026-08-01T00:39:15,user_009,ws-09,6.0,0,explorer.exe>chrome.exe,8.61,2,1,0,1,0,normal
evt_00005,2026-08-01T01:50:09,user_036,ws-06,1050.0,0,explorer.exe>invoice.exe,99.49,2,1,1,1,1,ransomware
evt_00006,2026-08-01T01:53:17,user_048,ws-18,19.0,0,explorer.exe>outlook.exe,26.01,2,1,1,1,0,normal
evt_00007,2026-08-01T02:16:34,user_032,ws-02,12.0,0,explorer.exe>cmd.exe>powershell.exe,34.49,3,2,2,1,0,normal
evt_00008,2026-08-01T02:30:18,user_027,ws-27,9.0,0,explorer.exe>chrome.exe,24.45,2,1,2,1,0,normal
evt_00009,2026-08-01T02:43:01,user_025,ws-25,17.0,0,explorer.exe>code.exe>python.exe,15.03,3,2,2,1,0,normal
evt_00010,2026-08-01T02:45:55,user_022,ws-22,9.0,0,explorer.exe>code.exe>python.exe,4.33,3,2,2,1,0,normal
evt_00011,2026-08-01T03:09:21,user_059,srv-08,10.0,1,explorer.exe>code.exe>git.exe>ssh.exe,24.5,4,3,3,1,1,impossible_travel
evt_00012,2026-08-01T03:19:32,user_051,ws-21,17.0,0,explorer.exe>winword.exe,30.63,2,1,3,1,0,normal
evt_00013,2026-08-01T03:23:41,user_034,ws-04,15.0,0,explorer.exe>chrome.exe,19.84,2,1,3,1,0,normal
evt_00014,2026-08-01T04:03:00,user_019,ws-19,23.0,0,explorer.exe>excel.exe,12.36,2,1,4,1,0,normal
evt_00015,2026-08-01T04:12:16,user_052,ws-22,26.0,0,explorer.exe>excel.exe>mshta.exe>powershell.exe>bitsadmin.exe,69.21,5,4,4,1,1,macro_malware
evt_00016,2026-08-01T04:22:46,user_059,ws-29,6.0,1,explorer.exe>teams.exe,28.08,2,1,4,1,1,impossible_travel
evt_00017,2026-08-01T04:24:29,user_006,ws-06,675.0,0,explorer.exe>cmd.exe>locker.exe,93.74,3,2,4,1,1,ransomware
evt_00018,2026-08-01T04:26:07,user_027,ws-27,9.0,0,explorer.exe>cmd.exe>python.exe,24.58,3,2,4,1,0,normal
evt_00019,2026-08-01T05:10:36,user_036,ws-06,16.0,0,explorer.exe>code.exe>python.exe,34.49,3,2,5,1,0,normal
evt_00020,2026-08-01T05:14:36,user_009,ws-09,3.0,0,services.exe>svchost.exe,14.01,2,1,5,1,0,normal
evt_00021,2026-08-01T05:20:29,user_058,ws-28,11.0,0,explorer.exe>code.exe>python.exe,28.67,3,2,5,1,0,normal
evt_00022,2026-08-01T05:34:46,user_006,ws-06,878.0,0,services.exe>svchost.exe>enc.exe,81.54,3,2,5,1,1,ransomware
evt_00023,2026-08-01T05:43:28,user_004,ws-04,15.0,0,explorer.exe>teams.exe,16.75,2,1,5,1,0,normal
evt_00024,2026-08-01T05:53:17,user_025,ws-25,19.0,1,explorer.exe>chrome.exe,21.89,2,1,5,1,1,impossible_travel
evt_00025,2026-08-01T08:12:12,user_022,ws-22,284.0,0,explorer.exe>chrome.exe,48.88,2,1,8,1,0,normal
evt_00026,2026-08-01T08:15:33,user_051,ws-21,20.0,0,explorer.exe>code.exe>node.exe,21.14,3,2,8,1,0,normal
evt_00027,2026-08-01T08:30:34,user_053,ws-23,32.0,0,explorer.exe>excel.exe,26.89,2,1,8,1,0,normal
evt_00028,2026-08-01T08:39:57,user_058,srv-02,28.0,0,explorer.exe>outlook.exe>winword.exe>cmd.exe>powershell.exe>rundll32.exe,35.57,6,5,8,1,1,macro_malware
evt_00029,2026-08-01T09:18:09,user_027,srv-05,28.0,0,explorer.exe>excel.exe>mshta.exe>powershell.exe>payload.exe,79.57,5,4,9,1,1,macro_malware
evt_00030,2026-08-01T09:25:34,user_023,ws-23,22.0,0,services.exe>svchost.exe,11.21,2,1,9,1,0,normal
evt_00031,2026-08-01T09:57:31,user_051,ws-21,24.0,0,explorer.exe>cmd.exe>powershell.exe,29.87,3,2,9,1,0,normal
evt_00032,2026-08-01T10:07:08,user_058,ws-28,18.0,0,explorer.exe>code.exe>python.exe,29.98,3,2,10,1,0,normal
evt_00033,2026-08-01T10:17:20,user_009,ws-09,2.0,0,explorer.exe>teams.exe,22.42,2,1,10,1,0,normal
evt_00034,2026-08-01T10:22:43,user_038,ws-08,9.0,0,explorer.exe>teams.exe,9.3,2,1,10,1,0,normal
evt_00035,2026-08-01T10:29:21,user_057,ws-27,15.0,0,explorer.exe>chrome.exe,16.57,2,1,10,1,0,normal
evt_00036,2026-08-01T10:52:54,user_022,ws-18,3.0,0,explorer.exe>winword.exe,17.05,2,1,10,1,0,normal
evt_00037,2026-08-01T10:55:30,user_015,ws-15,17.0,0,explorer.exe>winword.exe,24.08,2,1,10,1,0,normal
evt_00038,2026-08-01T10:56:13,user_026,ws-26,17.0,0,explorer.exe>winword.exe,28.8,2,1,10,1,0,normal
evt_00039,2026-08-01T11:04:55,user_022,ws-22,2.0,0,explorer.exe>outlook.exe,12.46,2,1,11,1,0,normal
evt_00040,2026-08-01T11:10:34,user_017,ws-17,10.0,0,explorer.exe>outlook.exe,26.99,2,1,11,1,0,normal
evt_00041,2026-08-01T11:38:21,user_010,ws-10,16.0,0,explorer.exe>code.exe>node.exe,24.47,3,2,11,1,0,normal
evt_00042,2026-08-01T11:59:43,user_035,ws-18,8.0,0,explorer.exe>cmd.exe>python.exe,8.15,3,2,11,1,0,normal
evt_00043,2026-08-01T12:00:59,user_037,ws-07,14.0,0,explorer.exe>chrome.exe,28.62,2,1,12,1,0,normal
evt_00044,2026-08-01T12:24:19,user_054,ws-24,5.0,0,explorer.exe>code.exe>python.exe,22.36,3,2,12,1,0,normal
evt_00045,2026-08-01T12:32:23,user_019,srv-09,14.0,0,explorer.exe>winword.exe,1.0,2,1,12,1,0,normal
